otu,mda_median,iqr25,iqr75,phylum,family,genus,study
Otu0417,0.003,0,0.005194805194805193,Firmicutes,Ruminococcaceae,Faecalibacterium,weir
Otu0900,0.003,0,0.004974747474747474,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu0232,0.002972727272727272,0,0.005171717171717169,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu0278,0.002972727272727272,0,0.006055555555555555,Bacteroidetes,Bacteroidaceae,Bacteroides,weir
Otu1058,0.002972727272727272,0,0.004655844155844155,Bacteroidetes,Porphyromonadaceae,Parabacteroides,weir
Otu1710,0.002972727272727272,0,0.005378787878787877,Firmicutes,Clostridiales,Clostridiales,weir
Otu1877,0.002972727272727272,0,0.004974747474747474,Firmicutes,Clostridiales,Clostridiales,weir
Otu2655,0.002972727272727272,0,0.0070757575757575755,Firmicutes,Ruminococcaceae,Flavonifractor,weir
Otu3217,0.002972727272727272,0,0.006088636363636364,Bacteria,Bacteria,Bacteria,weir
Otu3338,0.002972727272727272,0,0.005171717171717169,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu3759,0.002972727272727272,0,0.004909090909090908,Bacteria,Bacteria,Bacteria,weir
Otu0172,0.0029454545454545436,0,0.005171717171717169,Firmicutes,Ruminococcaceae,Ruminococcus,weir
Otu0244,0.0029454545454545436,0,0.0060921717171717165,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu0274,0.0029454545454545436,0,0.006545454545454545,Firmicutes,Ruminococcaceae,Faecalibacterium,weir
Otu0330,0.0029454545454545436,0,0.005295707070707068,Firmicutes,Ruminococcaceae,Clostridium_IV,weir
Otu0374,0.0029454545454545436,0,0.005171717171717169,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu0387,0.0029454545454545436,0,0.0064090909090909086,Firmicutes,Lachnospiraceae,Blautia,weir
Otu0420,0.0029454545454545436,0,0.005454545454545453,Bacteroidetes,Bacteroidaceae,Bacteroides,weir
Otu0439,0.0029454545454545436,0,0.006,Bacteroidetes,Porphyromonadaceae,Butyricimonas,weir
Otu0518,0.0029454545454545436,0,0.004974747474747474,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu0682,0.0029454545454545436,0,0.005817460317460317,Firmicutes,Lachnospiraceae,Roseburia,weir
Otu0737,0.0029454545454545436,0,0.0054285714285714284,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu0741,0.0029454545454545436,0,0.005378787878787877,Firmicutes,Lachnospiraceae,Ruminococcus,weir
Otu0748,0.0029454545454545436,0,0.005313023088023086,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu0749,0.0029454545454545436,0,0.005171717171717169,Firmicutes,Lachnospiraceae,Dorea,weir
Otu0755,0.0029454545454545436,0,0.004655844155844155,Bacteroidetes,Bacteroidaceae,Bacteroides,weir
Otu0815,0.0029454545454545436,0,0.005171717171717169,Firmicutes,Clostridiales,Clostridiales,weir
Otu0946,0.0029454545454545436,0,0.005250072150072149,Bacteria,Bacteria,Bacteria,weir
Otu1019,0.0029454545454545436,0,0.005171717171717169,Firmicutes,Ruminococcaceae,Ruminococcaceae,weir
Otu1067,0.0029454545454545436,0,0.005742532467532467,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu1146,0.0029454545454545436,0,0.005171717171717169,Bacteroidetes,Rikenellaceae,Alistipes,weir
