otu,mda_median,iqr25,iqr75,study,rank
Peptostreptococcus,0.0224794261294261,0.0224794261294261,0.0224794261294261,geng,78
Massilia,0.0221824841824842,0.0221824841824842,0.0221824841824842,geng,79
Spirosoma,0.0221411255411255,0.0221411255411255,0.0221411255411255,geng,80
Paracoccus,0.021113986013986,0.021113986013986,0.021113986013986,geng,81
Cloacibacillus,0.0199873626373626,0.0199873626373626,0.0199873626373626,geng,82
Alloprevotella,0.0198171717171717,0.0198171717171717,0.0198171717171717,geng,83
Bacillus,0.0197253968253968,0.0197253968253968,0.0197253968253968,geng,84
Hydrotalea,0.0194047619047619,0.0194047619047619,0.0194047619047619,geng,85
Gemella,0.0190575757575758,0.0190575757575758,0.0190575757575758,geng,86
Rhizobium,0.0179262237762238,0.0179262237762238,0.0179262237762238,geng,87
Dietzia,0.0173393939393939,0.0173393939393939,0.0173393939393939,geng,88
Anaeroplasma,0.016589010989011,0.016589010989011,0.016589010989011,geng,89
Sarcina,0.0162997835497835,0.0162997835497835,0.0162997835497835,geng,90
Anaerococcus,0.0161460317460317,0.0161460317460317,0.0161460317460317,geng,91
Pseudochrobactrum,0.0157311577311577,0.0157311577311577,0.0157311577311577,geng,92
